Video,Category,Shoulder Flexion Change,Wrist Flexion Change,Wrist Pronation Change,Elbow Flexion Change,Shoulder Abduction Change,Wrist Palmar Flexion Change,Torso Rotation Change,Trunk Tilt Backward Change
36.mp4,Skilled,12.996634510973749,67.34535010261128,53.29319004760346,3.849206652897891,22.50670459956433,40.274416559005516,18.452422907171492,32.36072010927115
37.mp4,Skilled,36.550034989906,26.348282076339103,16.22941853088791,60.39691587109252,39.63597745403243,0.07152440272349736,13.726640450946064,44.73792842027677
38.mp4,Skilled,39.23270749206472,17.53426865314202,54.599349354495615,50.42803994007144,30.666982442794527,49.32088234834232,24.282974209710495,33.382782212558524
39.mp4,Skilled,16.132150989812967,100.57330920777488,19.122088577782428,46.65974664033966,10.649905672634048,13.900465028779692,7.483671495495457,13.075401429007385
4.mp4,Skilled,71.34708970106075,5.690625193281164,73.49362008270712,100.65107756133716,44.284854635112374,68.11332182272223,14.48677172655498,32.65782234232541
40.mp4,Skilled,10.31286126117297,32.14042492703322,30.506790353275846,1.9912582847497333,10.440601041066127,5.561062879584142,25.720662392200435,38.460982595990075
41.mp4,Skilled,0.6327562988607554,71.85190418346704,7.132539911386203,3.8414799718621566,21.63819644842809,11.239271519687165,1.4521911009777355,20.08587704769105
42.mp4,Skilled,0.8633678090715122,74.25749082292097,6.864318702024214,0.9595254318655009,44.3525145173674,23.091988803465938,18.17108605457566,36.45935383071718
43.mp4,Novice,20.182618816557707,1.5228390597353325,47.66188091317471,36.862206488663475,67.79255892361827,43.327937015981405,39.55362725513763,59.30375880117981
44.mp4,Novice,11.56350500347394,3.970591807620025,11.74298148890692,43.97565605213211,36.005482225707496,0.19264136976545387,28.9416265423722,43.621198452084336
45.mp4,Novice,28.560717939442235,3.3738418980617837,33.30889803107126,39.94173011855587,48.52175437147484,35.43899159636604,25.339607709416363,36.26156965838548
46.mp4,Novice,43.32852565729255,2.4641029203714027,38.70975394986921,60.80102538910603,27.099584934747142,27.41805896695803,22.928486260416246,41.91393216805641
47.mp4,Novice,8.284932552927163,19.5017106499308,18.694351317147806,10.396433328982027,14.97414506374453,4.5488606212369405,25.126679599536892,37.54887915245416
48.mp4,Novice,0.8229596359816682,72.96056332050807,1.3194135781878202,10.24372648192275,38.84549976667431,53.801587261566965,14.320848591159226,30.1719078444072
49.mp4,Novice,9.24259059335746,37.94809048101175,10.8203920663193,11.079326830778513,42.307628866946516,54.72765255136588,31.65724470266143,36.0053100260417
5.mp4,Skilled,15.49696725195756,30.081727577196176,24.86161285853915,23.87796277399437,30.14242168976775,31.246963891616275,11.65573361684725,28.227745995248227
50.mp4,Novice,4.320976424102881,64.34718635574848,12.888678980329352,2.2278977523695858,34.58611098552515,35.41289493096083,29.05517237136256,34.44807979809331
51.mp4,Skilled,22.60353357816345,30.485849322686335,43.34988382459316,25.420762024794357,13.525479581455627,10.775023856803898,48.96450999996659,68.05051585883409
52.mp4,Skilled,38.25341026241651,15.042217691712864,51.208765560521044,86.87416326952297,1.028107408381544,10.327077578803056,37.509705295077325,47.179107228805
53.mp4,Skilled,71.07435459129562,18.019377437454494,50.030586606622634,107.02452175449142,14.663785626213638,33.14473773791545,22.70044469496723,29.15972403092389
54.mp4,Skilled,10.817018878678395,36.701277170762054,20.040986406988743,22.983654799593666,50.085111857030014,15.52029025802895,11.016285587496327,12.865112590862495
